id,name,address_primary,address_secondary,lat,lng,created_at,logo_url,banner_url,avg_spend_per_customer,rating,rating_count,about_text,is_approved,source,claimed_at,place_id,phone,category,website,opening_hours,email
0098d1f4-79eb-48b0-9923-d4bd67963ee0,Salon Avalon,"55 Crescent Dr B, Pleasant Hill, CA 94523, USA",,37.945775,-122.06214580000001,2026-07-18 03:53:23.024433,,,,4.8,0,,False,google_places,,ChIJY8nrdUdhhYARMJyokXRMHFs,(925) 689-2868,hair_care,http://salonavalon.com/,"Monday: 9:00 AM – 6:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 10:00 AM – 5:00 PM",
00e7b861-6634-4b38-9d0a-8f8a6fab9900,Tice Valley Community Gym,"2055 Tice Valley Blvd, Walnut Creek, CA 94595, USA",,37.8752676,-122.0699168,2026-07-17 19:28:30.827374,/static/logos/0b22a3a3fa9b4010b63c3448cdda86ff.jpg,/static/banners/2fa2a0185b4841d99137d2f35cffbd02.jpg,,4.4,0,,False,google_places,,ChIJMwhTkwiKj4ARsKzDnbMDuQI,(925) 256-3572,gym,https://www.walnutcreekartsrec.org/parks-facilities/facility-rentals/tice-valley-gymnasium#ad-image-15,"Monday: 9:00 AM – 4:00 PM
Tuesday: 9:00 AM – 4:00 PM
Wednesday: 9:00 AM – 4:00 PM
Thursday: 9:00 AM – 4:00 PM
Friday: 9:00 AM – 4:00 PM
Saturday: Closed
Sunday: Closed",
0102c73f-b9eb-4bc7-9ed7-b18ce443e3db,The Cheesecake Factory,"1181 Locust St Suite E, Walnut Creek, CA 94596, USA",,37.8957855,-122.0619747,2026-02-05 03:31:32.920089,/static/logos/8555ee449231447b86e55a0705f826e8.jpg,/static/banners/30dda90b40444794bd0e572826b44111.jpg,,4.1,0,American chain restaurant offering sizable portions from a vast menu including signature cheesecake,False,google_places,2026-03-22 20:00:02.420867,ChIJE-XGDuphhYARvpuzx2_coVk,(925) 952-8450,restaurant,https://locations.thecheesecakefactory.com/ca/walnut-creek-146.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,"Monday: 11:00 AM – 10:00 PM
Tuesday: 11:00 AM – 10:00 PM
Wednesday: 11:00 AM – 10:00 PM
Thursday: 11:00 AM – 10:00 PM
Friday: 11:00 AM – 11:00 PM
Saturday: 11:00 AM – 11:00 PM
Sunday: 10:00 AM – 10:00 PM",matt@wearme.blue
016b509d-68ed-478d-8bfb-cd08b0439b19,Sis Nail & Lash Studio,"1542A Newell Ave, Walnut Creek, CA 94596, USA",,37.8933652,-122.0596623,2026-07-18 02:53:28.927510,,,,4.7,0,,False,google_places,,ChIJTxFrW3thhYARIx5d0rHJNGQ,(925) 891-4573,beauty_salon,http://sis-studio.com/,"Monday: Closed
Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 6:00 PM",
019a536c-b5d0-40cf-a05a-3e4777888afe,Life is Sweet Bakery and Cafe,"155 Railroad Ave, Danville, CA 94526, USA",,37.8217079,-122.00162929999999,2026-07-18 03:53:23.025173,,,,4.5,0,,False,google_places,,ChIJk21h9ISNj4ARnF1nrekX6DE,(925) 718-5818,bakery,https://lifeissweetbakeryandcafe.com/,"Monday: Closed
Tuesday: 8:00 AM – 3:00 PM
Wednesday: 8:00 AM – 3:00 PM
Thursday: 8:00 AM – 3:00 PM
Friday: 8:00 AM – 3:00 PM
Saturday: 8:00 AM – 2:00 PM
Sunday: 8:00 AM – 2:00 PM",
0223efb2-420c-42b2-945c-40ff7adf797e,Safeway,"600 S Broadway, Walnut Creek, CA 94596, USA",,37.898108,-122.05667210000001,2026-07-17 19:28:30.827651,/static/logos/3a71c044b11f4cb6a4d0548418d253f5.jpg,/static/banners/75164a963cd14b48af08c0c897d31f72.jpg,,3.9,0,"Longtime supermarket chain carrying brand-name & house-label groceries, plus a deli, bakery & more.",False,google_places,,ChIJJYnQa8FhhYARmXTAxJ5Mz5k,(925) 935-9205,bakery,https://local.safeway.com/safeway/ca/walnut-creek/600-s-broadway.html,"Monday: 5:00 AM – 2:00 AM
Tuesday: 5:00 AM – 2:00 AM
Wednesday: 5:00 AM – 2:00 AM
Thursday: 5:00 AM – 2:00 AM
Friday: 5:00 AM – 2:00 AM
Saturday: 5:00 AM – 2:00 AM
Sunday: 5:00 AM – 2:00 AM",
0266f42e-aa61-4079-8a60-08d196542fee,Genji Sushi,"2941 Ygnacio Valley Rd, Walnut Creek, CA 94598, USA",,37.925888799999996,-122.0156649,2026-07-18 02:53:28.927957,,,,1.0,0,"Straightforward eatery focused on sushi, including cooked rolls & options for vegetarians & vegans.",False,google_places,,ChIJiR8ccrFhhYARWvBvMWqPVmk,(925) 269-9010,japanese_restaurant,,"Monday: 8:00 AM – 9:00 PM
Tuesday: 8:00 AM – 9:00 PM
Wednesday: 8:00 AM – 9:00 PM
Thursday: 8:00 AM – 9:00 PM
Friday: 8:00 AM – 9:00 PM
Saturday: 8:00 AM – 9:00 PM
Sunday: 8:00 AM – 9:00 PM",
030f9345-8294-4c74-9945-59d2c628871c,China Wall Buffet,"1673 Willow Pass Rd, Concord, CA 94520, USA",,37.973088800000006,-122.0431585,2026-07-18 02:53:28.927756,,,,4.0,0,"Unlimited lunch & dinner buffets attract a crowd for classic seafood, sushi & vegetarian options.",False,google_places,,ChIJu7cgZ9dmhYAR3Y4_lUe1GBM,(925) 827-9398,chinese_restaurant,https://chinawallbuffet.shop/,"Monday: 11:00 AM – 9:00 PM
Tuesday: 11:00 AM – 9:00 PM
Wednesday: 11:00 AM – 9:00 PM
Thursday: 11:00 AM – 9:00 PM
Friday: 11:00 AM – 9:30 PM
Saturday: 11:00 AM – 9:30 PM
Sunday: 11:00 AM – 9:00 PM",
03240dbe-8236-43f2-b935-a02412982059,Casa Gourmet Burritos,"3322 Mount Diablo Blvd, Lafayette, CA 94549, USA",,37.896263,-122.10301829999997,2026-07-18 02:53:28.928196,,,,4.1,0,Compact Mexican standby doles out hefty burritos & other eats at the counter in an informal space.,False,google_places,,ChIJqy0WyjlihYARp2PKMsudMe0,(925) 284-4415,mexican_restaurant,,"Monday: 11:00 AM – 9:00 PM
Tuesday: 11:00 AM – 9:00 PM
Wednesday: 11:00 AM – 9:00 PM
Thursday: 11:00 AM – 9:00 PM
Friday: 11:00 AM – 9:00 PM
Saturday: 11:00 AM – 9:00 PM
Sunday: 12:00 – 9:00 PM",
038b853d-f2cf-49e1-bc93-75a71717cf15,Broadway Spa,"2085 N Broadway #350, Walnut Creek, CA 94596, USA",,37.9084813,-122.06204890000001,2026-07-18 03:53:23.024886,,,,4.8,0,,False,google_places,,ChIJpcXjzcFhhYAR2LP5YStoTRI,(925) 476-5200,spa,http://www.broadway-spa.com/,"Monday: 10:00 AM – 9:00 PM
Tuesday: 10:00 AM – 9:00 PM
Wednesday: 10:00 AM – 9:00 PM
Thursday: 10:00 AM – 9:00 PM
Friday: 10:00 AM – 9:00 PM
Saturday: 10:00 AM – 9:00 PM
Sunday: 10:00 AM – 9:00 PM",
