id,business_id,title,description,start_at,end_at,active,estimated_value_per_redemption,cooldown_hours,max_per_day,deal_type,buy_qty,get_qty,repeat_days,percent_off,item_name,fixed_price_cents,min_spend_cents,amount_off_cents,custom_text,image_url,featured_at,created_at,cooldown_minutes,loyalty_redemptions_required,loyalty_reward_description,is_progressive
0007bd4b-b243-420b-85f6-e2d80e318217,e23c1a70-a24b-4568-b100-98d10196524d,16% Off Your Order,16% Off Your Order at SOS Spa Walnut Creek.,2026-06-27 03:53:28.667195,2026-09-02 03:53:28.667195,True,,16,,PERCENT_OFF,,,,16.0,,,,,,,,2026-07-18 03:53:28.844183,,,,False
00280d70-58d1-45ee-a883-c093c1c96bb0,62d83cb8-798c-41ce-978c-6dc3ab3174bb,Buy 2 Get 1 Free,Buy 2 Get 1 Free at Mocha Mocha.,2026-07-18 03:53:28.667195,2026-09-12 03:53:28.667195,True,,21,,BUY_X_GET_Y,2.0,1.0,,,,,,,,,,2026-07-18 03:53:28.837677,,,,False
003920fe-47d4-4b4d-ad1c-8416d07ace7a,2a33d72d-c770-48a1-b853-903d51e3e789,Buy 3 Get 1 Free,Buy 3 Get 1 Free at Fizz Walnut Creek.,2026-05-28 02:54:07.816186,2026-06-28 02:54:07.816186,True,,15,,BUY_X_GET_Y,3.0,1.0,,,,,,,,,2026-05-28 02:54:07.816186,2026-07-18 02:54:08.024117,,,,False
003b32aa-5062-49ee-9098-71c93205c9bf,bef73f45-65e4-4baf-a102-9ec20f15e425,Buy 3 Get 1 Free,Buy 3 Get 1 Free at ØL Beercafe & Bottleshop.,2026-06-12 19:36:19.388666,2026-08-17 19:36:19.388666,True,,4,,BUY_X_GET_Y,3.0,1.0,,,,,,,,,2026-06-12 19:36:19.388666,2026-07-17 19:36:19.559595,,,,False
00656e8e-7cd4-4244-85e8-7dbd539731e6,3d274566-be2b-4d81-a147-c4357057cb1c,Special Offer,Special Offer at Torsap Thai.,2026-05-25 02:54:07.816186,2026-08-02 02:54:07.816186,True,,21,,CUSTOM_TEXT,,,,,,,,,Mention WalkIn for a surprise perk.,,,2026-07-18 02:54:08.030392,,,,False
006dc681-08cb-48db-aebb-98d4d8e05172,8e5b2440-0846-49f4-b43c-4263cfcb3fd1,Buy 1 Get 2 Free,Buy 1 Get 2 Free at Glass Slipper Gourmet.,2026-06-17 03:53:28.667195,2026-09-02 03:53:28.667195,True,,1,,BUY_X_GET_Y,1.0,2.0,,,,,,,,,,2026-07-18 03:53:28.844934,,,,False
007d057f-6dbb-4e0e-8c3d-6dfb345daf41,1a0d99a4-819b-46e7-b6ee-07efdcb35f20,Buy 3 Get 1 Free,Buy 3 Get 1 Free at Slice House by Tony Gemignani.,2026-07-17 19:36:19.388666,2026-08-20 19:36:19.388666,True,,16,,BUY_X_GET_Y,3.0,1.0,,,,,,,,,,2026-07-17 19:36:19.564029,,,,False
0084137b-cf8e-4c51-aff8-e73d29c48173,67e464d1-bc96-4ff9-8491-35d359b14393,Special Offer,Special Offer at The Curl Studio WC.,2026-06-16 03:53:28.667195,2026-07-05 03:53:28.667195,True,,5,,CUSTOM_TEXT,,,,,,,,,Bring a friend and both get a treat.,,2026-06-16 03:53:28.667195,2026-07-18 03:53:28.839932,,,,False
0085c50b-dd16-4a19-af15-1743d009150e,9b6406a2-a649-4d86-8395-dfc1b41a22a7,"Spend $23, Get $5 Off","Spend $23, Get $5 Off at CJ's Saloon.",2026-07-18 02:54:07.816186,2026-08-28 02:54:07.816186,True,,12,,SPEND_X_GET_AMOUNT,,,,,,,2278.0,454.0,,,,2026-07-18 02:54:08.025052,,,,False
009c7183-2601-4bbe-b24d-a19275ac750b,4b26abe8-b194-4d82-ac4f-dbddfc66752e,Weekday Special,Weekday Special at MEIS SALON.,2026-07-13 03:53:28.667195,2026-09-30 03:53:28.667195,True,,2,,STANDARD,,,,,,,,,,,,2026-07-18 03:53:28.840255,,,,False
00a9c7e1-05d8-43ac-8468-8a9dd60e51a3,baeb9f1f-ff28-4e42-9a57-f653ff8dbca6,Featured Item for $7.38,Featured Item for $7.38 at 88 BaoBao.,2026-07-04 02:54:07.816186,2026-07-27 02:54:07.816186,True,,9,,FIXED_PRICE_ITEM,,,,,Featured Item,738.0,,,,,,2026-07-18 02:54:08.028006,,,,False
00ba57ec-b990-4af7-95be-7ff672ec2690,71c03332-a036-4b14-b992-4c4217ba1a22,"Spend $36, Get $5 Off","Spend $36, Get $5 Off at Ranchero Taqueria.",2026-06-09 02:54:07.816186,2026-07-04 02:54:07.816186,True,,19,,SPEND_X_GET_AMOUNT,,,,,,,3646.0,531.0,,,,2026-07-18 02:54:08.031835,,,,False
